id,trigger,conditions,script,text,options,notes
GAFCSiyavongFikenhildHubAopt1,GAFCsiyavongFikenhildHubAopts,!$askedWhatDoYouDo ,,,"gaFC_fikenhildSiyavongWhatDo:""What is it exactly that you do?""",
GAFCSiyavongFikenhildHubAopt2,GAFCsiyavongFikenhildHubAopts,"!$tookYouLongEnough
$global.gaFC_beingConspicuous >= 3",,,"gaFC_fikenhildSiyavongLongEnough:""It took you long enough to contact me.""",
GAFCSiyavongFikenhildHubAopt3,GAFCsiyavongFikenhildHubAopts,,,,"gaFC_fikenhildSiyavongWhereScylla:""Where is Scylla Coureuse?""",
GAFCSiyavongFikenhildWhatDo,DialogOptionSelected,$option == gaFC_fikenhildSiyavongWhatDo,"$askedWhatDoYouDo = true 0
FireAll GAFCsiyavongFikenhildHubAopts","""Comme vous le voyez, je suis un représentant du Service de Renseignement de la Flotte de la Ligue Persane."" Siyavong écarte les mains, comme pour montrer qu'il ne veut aucun mal. ""Je travaille pour la défense et la sécurité des libertés dont jouissent les membres de la Ligue Persane.""

""Mais si nous parlons aujourd'hui, c'est à cause de vous, capitaine. Vous avez été quelque peu indiscret dans votre recherche d'un agent qui intéresse le Service.""",,
GAFCSiyavongFikenhildWhatDoMem,DialogOptionSelected,"$option == gaFC_fikenhildSiyavongWhatDo
$player.isLeagueMember","$askedWhatDoYouDo = true 0
FireAll GAFCsiyavongFikenhildHubAopts","""I am as you see, a representative of the Persean League Fleet Intelligence Service.""

Siyavong spreads his hands, as if showing he means no harm. ""I work on behalf of the defense and security of the freedoms enjoyed by the constituents of the Persean League, which includes yourself and your organization.""

""But we are speaking today because of you, captain, demarchon. You've been somewhat indiscreet in your search for an asset who is of interest to the Service and the League.""",,
GAFCSiyavongFikenhildLongEnough,DialogOptionSelected,$option == gaFC_fikenhildSiyavongLongEnough,"$tookYouLongEnough = true 0
FireAll GAFCsiyavongFikenhildHubAopts","""Oui, nous vous observons depuis un certain temps $playerName."" Siyavong lève un datapad et fait mine de le lire. ""Vous avez eu une carrière plutôt fascinante ces derniers temps, capitaine. Vous semblez avoir un don pour trouver les ennuis, et pour que les ennuis vous trouvent.""

Il repose le datapad. ""Cela a fourni beaucoup de matière aux analystes.""

""Pour être parfaitement honnête,"" dit-il avec un léger sourire, ""j'avais espéré ne pas avoir à vous parler aussi directement. Mais vous m'avez forcé la main, alors nous voilà.""",,
GAFCSiyavongFikenhildLongEnoPLb,DialogOptionSelected,"$option == gaFC_fikenhildSiyavongLongEnough
$global.gaFC_calledFavorFromVIP
$player.isLeagueMember","$tookYouLongEnough = true 0
FireAll GAFCsiyavongFikenhildHubAopts","""Ah. It took some time for the message to get through the... not quite the proper channels, of course..."" Siyavong puts on a sly look for a moment. ""I wouldn't say I expected you to reach out so directly, but perhaps I should have.""

He lifts a datapad and taps its face. ""You've enjoyed a fascinating career lately, demarchon. You have a knack for finding trouble, and for trouble finding you. It's provided much fodder for the analysts.""  

He sets the datapad down.

""To be perfectly honest,"" he begins, with an ironic hint of smile, ""I had hoped we wouldn't have to speak at all. It'd be cleaner. But my hand was forced and here we are.""",,
GAFCSiyavongFikenhildLongEnoPL,DialogOptionSelected,"$option == gaFC_fikenhildSiyavongLongEnough
$player.isLeagueMember","$tookYouLongEnough = true 0
FireAll GAFCsiyavongFikenhildHubAopts","""Yes, we've been watching you for some time."" Siyavong lifts a datapad and makes a show of reading it. ""You've enjoyed a rather fascinating career lately, demarchon. You seem to have a knack for finding trouble, and for trouble finding you."" 

He puts down the datapad. ""It's provided much fodder for the analysts.""  

""To be perfectly honest,"" he says, and smiles just a little, ""I had hoped I would not find it necessary to speak with you so directly. But you've forced my hand, so here we are.""",,
GAFCSiyavongFikenhildWhereScylla,DialogOptionSelected,$option == gaFC_fikenhildSiyavongWhereScylla,FireAll GAFCsiyavongFikenhildHubBopts,"L'agent Siyavong semble sincèrement amusé, ""Une question plutôt directe à poser à un agent du Service, vous ne trouvez pas ? Mais c'est le coeur du problème, et votre profil suggère une certaine propension à, disons, la pensée directe.""

""Permettez-moi de vous répondre par une question,"" il se penche en avant, ""Pourquoi devriez-vous savoir où se trouve Scylla Coureuse ?""",,
GAFCSiyavongFikenhildHubB,DialogOptionSelected,$option == gaFC_fikenhildSiyavongHubB,FireAll GAFCsiyavongFikenhildHubBopts,"He drops the smile and shifts the tilt of his head.

The pause lengthens, but he isn't saying anything.",,
GAFCSiyavongFikenhildHubB1,GAFCsiyavongFikenhildHubBopts,!$saidWantToHelpScylla,,,"gaFC_fikenhildSiyavongHelp:""I want to help Scylla.""",
GAFCSiyavongFikenhildHubB2,GAFCsiyavongFikenhildHubBopts,,,,"gaFC_fikenhildSiyavongFindHer:""I can't disclose the reason. I intend to find her with or without your help.""",
GAFCSiyavongFikenhildHubB3,GAFCsiyavongFikenhildHubBopts,!$askedOtherPeople,,,"gaFC_fikenhildSiyavongOtherPeople:""Other people seem to think she's important.""",
GAFCSiyavongFikenhildHubB4,GAFCsiyavongFikenhildHubBopts,,,,"gaFC_fikenhildSiyavongBaird:""I'm helping Provost Anahita Baird with some kind of secret project.""
",
GAFCSiyavongFikenhildHubB5,GAFCsiyavongFikenhildHubBopts,$global.gaFC_gotZalContactFromCavin ,,,"gaFC_fikenhildSiyavongContactZal:""I can put you in contact with Elissa Zal.""",
GAFCSiyavongFikenhildHubB6,GAFCsiyavongFikenhildHubBopts,$player.isLeagueMember,,,"gaFC_fikenhildSiyavongLeague:""As a demarchon of the League, you work for me. Remember?""",
GAFCSiyavongFikenhildHelp,DialogOptionSelected,$option == gaFC_fikenhildSiyavongHelp,$saidWantToHelpScylla = true,"L'agent Siyavong laisse échapper un bref éclat de rire étrange. ""Oh, en effet,"" dit-il.

Il s'arrête un moment, vous examinant. ""Vous n'êtes pas sérieux.""","gaFC_fikenhildSiayvongSerious:""Je suis tout à fait sérieux.""
gaFC_fikenhildSiyavongSortOf:""En quelque sorte... d'un certain point de vue.""
gaFC_fikenhildSiyavongSortOf2:""Non, mais ça a l'air d'être ce que les gens aiment entendre.""
gaFC_fikenhildSiyavongNo:""Évidemment que non.""
",
GAFCSiyavongFikenhildSerious,DialogOptionSelected,$option == gaFC_fikenhildSiayvongSerious,"$global.gaFC_searchIsirah = true
$global.gaFC_gotIsirahLeadFromSiyavong = true
Call $global.gaFC_ref updateStage
$askedHowKnowBaird = true 0
FireAll GAFCSiyavongFikenhildRevealOptions
$player.ethosHumanitarian++
$global.gaFC_isirahClues++","Il vous regarde, curieux, le front plissé. ""Intéressant,"" se dit-il, ""Direct.""

""C'est vraiment ce que vous croyez ?"" songe-t-il, puis il balaie la question d'un geste, ""Pas besoin de répondre à ça. Vous m'avez donné matière à réflexion. En attendant - il y a une affaire importante à régler : sauver Scylla Coureuse."" Il sourit comme s'il s'agissait d'une plaisanterie partagée.

""Coureuse est dans le système Isirah, bien sûr. Je vais vous fournir-"" il fait une pause théâtrale en tapotant quelque chose sur la console de son bureau ; votre TriPad émet un signal, ""-une interception de données d'apparence plausible d'une communication entre elle et M. Cavin Pharoh.""",,
GAFCSiyavongFikenhildSortOf,DialogOptionSelected,$option == gaFC_fikenhildSiyavongSortOf,"$option = gaFC_fikenhildSiyavongSortOf2 0
FireBest DialogOptionSelected",,,
GAFCSiyavongFikenhildSortOf2,DialogOptionSelected,$option == gaFC_fikenhildSiyavongSortOf2,"$global.gaFC_searchIsirah = true
$global.gaFC_gotIsirahLeadFromSiyavong = true
Call $global.gaFC_ref updateStage","L'agent Siyavong a l'air de s'amuser ; maintenant, vous jouez à son jeu.

""Bien sûr, capitaine. Coureuse est dans le système Isirah. Je vais vous fournir-"" il fait une pause théâtrale en tapotant quelque chose sur la console de son bureau ; votre TriPad émet un signal, ""-une interception de données d'apparence plausible d'une communication entre elle et M. Cavin Pharoh.""

""Ça montrera au prévôt Baird que vous avez travaillé dur pour l'obtenir,"" dit-il avec un clin d'oeil.
","gaFC_fikenhildSiyavongJustTellingMe:""Vous me dites juste où elle est ?""
gaFC_fikenhildSiyavongHowKnowBaird:""Comment êtes-vous au courant pour Baird ?""",
GAFCSiyavongFikenhildJustTellingMe,DialogOptionSelected,$option == gaFC_fikenhildSiyavongJustTellingMe,"$askedJustTellingMe = true 0
FireAll GAFCSiyavongFikenhildRevealOptions","""Je ne vous ai rien dit."" Il fait un geste vers vous, ""Vous avez intercepté une communication, vous vous souvenez ? En plus, Isirah - enfin, ce n'est pas un grand endroit, mais je suis sûr que vous assemblerez les pièces du puzzle assez vite.""",,
GAFCSiyavongFikenhildHowKnowBaird,DialogOptionSelected,$option == gaFC_fikenhildSiyavongHowKnowBaird,"$askedHowKnowBaird = true 0
FireAll GAFCSiyavongFikenhildRevealOptions","Le sourire de Siyavong s'élargit, ""Si je ne l'ai pas fait, est-ce que vous venez de le confirmer ?""",,
GAFCSiyavongFikenhildNo,DialogOptionSelected,$option == gaFC_fikenhildSiyavongNo,FireAll GAFCsiyavongFikenhildHubBopts,"""En effet,"" il joint les mains d'une manière professionnelle, ""Alors ?""",,
GAFCSiyavongFikenhildFindHer,DialogOptionSelected,$option == gaFC_fikenhildSiyavongFindHer,"$option = gaFC_fikenhildSiyavongSortOf2 0
FireBest DialogOptionSelected",,,
GAFCSiyavongFikenhildOtherPeople,DialogOptionSelected,$option == gaFC_fikenhildSiyavongOtherPeople,$askedOtherPeople = true 0,"L'agent Siyavong a l'air de s'amuser ; maintenant, vous jouez à son jeu.

""Eh bien, $playerName, il se trouve que je suis l'une de ces autres personnes. Elle est importante - ou, plus précisément, elle pourrait être importante si on lui offre l'opportunité adéquate.""

Il se penche en avant et dit doucement, ""Il y a ceux qui voudraient qu'elle reste insignifiante. Peut-être pour toujours. Je pense... que nous ne devrions pas laisser les choses ainsi. Je soupçonne que votre 'autre personne' est d'accord avec moi sur ce point, à défaut d'autre chose.""",gaFC_fikenhildSiyavongOtherPeople2:Continuer,
GAFCSiyavongFikenhildOtherPeople2,DialogOptionSelected,$option == gaFC_fikenhildSiyavongOtherPeople2,"$global.gaFC_searchIsirah = true
$global.gaFC_gotIsirahLeadFromSiyavong = true
Call $global.gaFC_ref updateStage
FireAll GAFCSiyavongFikenhildRevealOptions
$global.gaFC_isirahClues++","""Coureuse is in the Isirah system, of course. I will provide you-"" he pauses dramatically as he taps something out on his desk console. Your TriPad pings, ""-with a plausible-looking data intercept of a communication between her and Mr. Cavin Pharoh to 'prove' the success of your search here.""

He puts his hands together, not quite hiding his grin. ""Provost Baird will be pleased, I'm sure.""",,
GAFCSiyavongFikenhildBaird,DialogOptionSelected,$option == gaFC_fikenhildSiyavongBaird,$saidBaird = true 0,"L'agent Siyavong cligne des yeux, et fronce les sourcils comme s'il ne s'attendait pas à ce que vous le disiez aussi franchement. ""Je dois admettre que votre franchise est quelque peu troublante.""

""Je vous conseille d'être attentif à qui vous confiez vos paroles,"" dit-il sévèrement, ""Surtout au vu de ce que vous êtes sur le point d'apprendre.""","gaFC_fikenhildSiyavongCoureuseIsirah:""Et qu'est-ce que c'est ?""",
GAFCSiyavongFikenhildContactZal,DialogOptionSelected,$option == gaFC_fikenhildSiyavongContactZal,,"Siyavong fait une pause, ne montrant aucune émotion ni aucun mouvement. Vous vous demandez presque si le flux de communication est gelé, puis il parle. ""Je suis intéressé, capitaine. En ferons-nous un échange ? L'identifiant de communication de Zal contre la localisation de Scylla Coureuse ?""
Il sourit maintenant.","gaFC_fikenhildSiyavongZal:Transmettre l'identifiant comm d'Elissa Zal
gaFC_fikenhildSiyavongHubB:""Je ne pense pas.""",
GAFCSiyavongFikenhildZal,DialogOptionSelected,$option == gaFC_fikenhildSiyavongZal,"$global.gaFC_gaveZalContactToSiyavong = true
$option = gaFC_fikenhildSiyavongCoureuseIsirah 0
FireBest DialogOptionSelected","Siyavong étudie son TriPad. ""Fascinant,"" dit-il, puis lève les yeux, le posant de côté.",,
GAFCSiyavongMeLeague,DialogOptionSelected,$option == gaFC_fikenhildSiyavongLeague,,"Agent Siyavong blinks, frowning at your directness

""You are forthright, captain. I'm afraid, with apologies, that the report heirarchy doesn't quite work like that. You may, of course, submit an official request to the FIS through proper channels. Though I hear there's something of a backlog.""

His smirk is almost deniable. He lets you wait for just a moment before this would register as insolence, then continues.

""Nonetheless, as I'm sure you're aware, we in the League pride ourselves on a certain spirit of dynamism and cooperation which sets us apart from, say, the Hegemony.""","gaFC_fikenhildSiyavongLeague2a:""And that's what makes the League great. Do go on.""
gaFC_fikenhildSiyavongLeague2b:""That's the right attitude. So where's Coureuse?""",
GAFCSiyavongMeLeague2a,DialogOptionSelected,$option == gaFC_fikenhildSiyavongLeague2a,"$option = gaFC_fikenhildSiyavongCoureuseIsirah 0
FireBest DialogOptionSelected","Siyavong puts on a dutifully, if not quite friendly, expression at your sudden display of patriotism.",,
GAFCSiyavongMeLeague2b,DialogOptionSelected,$option == gaFC_fikenhildSiyavongLeague2b,"$option = gaFC_fikenhildSiyavongCoureuseIsirah 0
FireBest DialogOptionSelected","""Direct to the last,"" Siyavong says to himself, patience not quite frayed. Not quite.",,
GAFCSiyavongFikenhildCoureuseIsirah,DialogOptionSelected,$option == gaFC_fikenhildSiyavongCoureuseIsirah,"$global.gaFC_searchIsirah = true
$global.gaFC_gotIsirahLeadFromSiyavong = true
Call $global.gaFC_ref updateStage
FireAll GAFCSiyavongFikenhildRevealOptions
$global.gaFC_isirahClues++","""Coureuse est dans le système Isirah. Je vais vous fournir-"" il fait une pause théâtrale en tapotant quelque chose sur la console de son bureau ; votre TriPad émet un signal, ""-une interception de données d'apparence plausible d'une communication entre elle et M. Cavin Pharoh.""

""Ça montrera au prévôt Baird que vous avez travaillé dur pour l'obtenir,"" dit-il avec un clin d'oeil.",,
GAFCSiyavongFikenhildRevealOpt1,GAFCSiyavongFikenhildRevealOptions,"!$askedHowKnowBaird
!$saidBaird",,,"gaFC_fikenhildSiyavongHowKnowBaird:""How do you know about Baird?""",
GAFCSiyavongFikenhildRevealOpt2,GAFCSiyavongFikenhildRevealOptions,!$askedJustTellingMe,,,"gaFC_fikenhildSiyavongJustTellingMe:""You're just telling me where she is?""",
GAFCSiyavongFikenhildRevealOpt3,GAFCSiyavongFikenhildRevealOptions,"$askedJustTellingMe
#$askedHowKnowBaird",,,"gaFC_fikenhildSiyavongWrapUp:""What is your endgame here? Why help me?""",
GAFCFikenhildSiyavongWrapUp,DialogOptionSelected,$option == gaFC_fikenhildSiyavongWrapUp,,"""Ne vous en faites pas. Vous avez une scientifique en fuite à retrouver, et au nom du Service de Renseignement de la Flotte, je n'ai rien à vous dire à ce sujet. Et nous ne nous sommes d'ailleurs jamais rencontrés ; je ne vous connais pas, vous ne me connaissez pas.""

L'agent Siyavong frappe dans ses mains, ""Je crois que nous en avons terminé. Comment dites-vous déjà - 'Brûlez bien', capitaine ?""","gaFC_fikenhildSiyavongWrapUp2:""Attendez, j'ai d'autres questions.""
cutCommLink:Couper la comm",
GAFCFikenhildSiyavongWrapUpMem,DialogOptionSelected,"$option == gaFC_fikenhildSiyavongWrapUp
$player.isLeagueMember",#SetPersonHidden siyavong true,"""Don't worry about it. You have a rogue scientist to track down, and on behalf of the Persean League Fleet Intelligence Service, I've said nothing to you on the subject.""

He taps his nose. ""Our meeting was purely a matter of routine internal affairs. Nothing out of the ordinary with the FIS coordinating on perfectly standard information-sharing with the executive representative of a member polity, don't you agree?""

Agent Siyavong claps his hands together, ""I believe we are finished. What is it you people say- 'burn bright', captain-demarchon?""","gaFC_fikenhildSiyavongWrapUp2:""Wait, I have more questions.""
cutCommLink:Couper la comm",
GAFCFikenhildSiyavongWrapUp2,DialogOptionSelected,$option == gaFC_fikenhildSiyavongWrapUp2,ShowDefaultVisual,"Finlay secoue la tête, souriant toujours. La ligne de communication se déconnecte brusquement sur un flux vide.",cutCommLink:Couper la comm,
,,,,,,
"# talking to Finlay Siyavong wherein he stonewalls the player
(if player has spokeOpenly with him)",,,,,,
GAFCSiyavongStonewallGreeting,PickGreeting,"$id == siyavong score:1000
#!$global.gaFC_triedToSeeCavin score:100","ShowPersonVisual
$metAlready = true
#FireBest FCFikenhildSiyavongGreeting
FireAll GAFCSiyavongStonewallGreetOptions","Le lien de communication reste quelques instants sur un graphique animé discret de l'insigne de la Ligue Persane avant de se connecter.

""Bonjour, je suis le Lieutenant Finlay Siyavong du Service de Renseignement de la Flotte de la Ligue Persane,"" dit Siyavong. ""En quoi puis-je vous être utile ?""",,
GAFCSiyavongStonewallGreetOption1,GAFCSiyavongStonewallGreetOptions,$global.gaFC_inProgress,,,"gaFC_siyavongStonewallScylla:""J'ai des questions au sujet de Scylla Coureuse.""",
GAFCSiyavongStonewallGreetOption2,GAFCSiyavongStonewallGreetOptions,,,,"
cutCommLink:Couper la comm",
GAFCSiyavongStoneWallScylla,DialogOptionSelected,$option == gaFC_siyavongStonewallScylla,FireAll GAFCSiyavongStonewall,"""Je suis désolé $playerSirOrMadam, mais personne de ce nom ne travaille dans ce bureau. Je vous recommande de consulter un annuaire public.""",,
GAFCSiyavongStonewallOption1,GAFCSiyavongStonewall,$spokeOpenly,$siyavongStonewall = true 0,,"gaFC_siyavongStonewallOption1:""Pourquoi faites-vous semblant de ne pas me connaître ?",
GAFCSiyavongStonewallOption2,GAFCSiyavongStonewall,,$siyavongStonewall = true 0,,"gaFC_siyavongStonewallOption2:""D'accord. Je vois comment c'est.""",
GAFCSiyavongStonewallOption3,GAFCSiyavongStonewall,$global.gaFC_gotIsirahLeadFromSiyavong,$siyavongStonewall = true 0,,"gaFC_siyavongStonewallOption3:""Scylla. Coureuse. Vous vous souvenez ? Vous m'avez dit où la trouver.""",
GAFCSiyavongStonewallOption4,GAFCSiyavongStonewall,,$siyavongStonewall = true 0,,"gaFC_siyavongStonewallOption4:""L'académicienne Coureuse. Vous avez interrogé des gens qui la connaissent.""",
GAFCSiyavongStonewallOption5,GAFCSiyavongStonewall,$player.isLeagueMember,$siyavongStonewall = true 0,,cutCommLink:Couper la comm,
GAFCSiyavongStonewallOption6,GAFCSiyavongStonewall,,,,cutCommLink:Couper la comm,
GAFCSiyavongStonewall1mem,DialogOptionSelected,"$siyavongStonewall
$player.isLeagueMember",unset $siyavongStonewall,"""$PlayerSirOrMadam, I have only the utmost respect for your office as executive leader of $player.theFactionName, a member polity of the Persean League in good standing. If you wish to officially coordinate on matters relating to intelligence concerning an individual of interest with the Persean League Fleet Intelligence Service, I must direct you toward the official channels.""

Siyavong's simulation of polite, bureaucratic non-helpfulness is immaculate. He's stonewalling.

He pauses for a significant moment, then adds ""It would be highly irregular if I were to discuss potentially classified matters outside of official channels.""",cutCommLinkNoText:Couper la comm,
GAFCSiyavongStonewall1,DialogOptionSelected,$siyavongStonewall,unset $siyavongStonewall,"""J'ai bien peur de ne pas voir de quoi vous parlez."" Siyavong vous regarde avec une simulation impeccable de confusion polie et bureaucratique. ""Si vous souhaitez signaler un crime dans l'espace interfactionnel, ou un crime dans la juridiction locale impliquant des non-citoyens de cet état membre de la Ligue, je peux vous transmettre le contact approprié.""

Quoi que vous tentiez, il fait barrage. Et il le fait très bien.",cutCommLinkNoText:Couper la comm,
,,,,,,
# gaFC_pickedBranchProbes,,,,,,
# gaFC Coureuse probe interactions,,,,,,
gaFCProbeSwitched,OpenInteractionDialog,"$gaProbeGeneric
$global.gaFC_switchedPaths
$global.gaFC_pickedBranchFikenhild",ShowDefaultVisual,"A common class of probe used for research, surveying, and surveillance. There is no active transponder, but your comms officer's active ping returns an ID-packet bearing codes for the Galatia Academy.

EM leakage suggests functioning subsystems, perhaps collecting telemetry for some esoteric research project.",defaultLeave:Partir,
gaFCProbePrintHostilesText,OpenInteractionDialog,"$gaFC_probe score:1000
HostileFleetNearbyAndAware",ShowDefaultVisual,"Une flotte hostile à proximité suit vos mouvements, vous empêchant d'envoyer une équipe EVA pour examiner la sonde.",defaultLeave:Partir,
gaFCProbeInteractionStart,OpenInteractionDialog,"$gaFC_probe score:1000
Call $global.gaFC_ref updateData","ShowDefaultVisual
FireBest GAFCProbeInteraction",,,
gaFCProbeObjectInteractionFirst,GAFCProbeInteraction,"!$global.gaFC_discoveredFirstProbe
#Call $global.gaFC_ref updateData",$global.gaFC_discoveredFirstProbe = true,"Votre $shipOrFleet s'approche de la sonde. Elle ne transmet pas d'identifiant de transpondeur actif, mais lorsque votre officier des communications effectue un ping direct du transpondeur, le retour identifie la sonde comme propriété de l'Académie de Galatia. S'ensuit un bloc de jargon juridique menaçant d'amendes et faisant allusion à des dangers non spécifiés inhérents à toute manipulation de ladite propriété.

Vous soupçonnez que ces simples mots, un fantôme d'impulsion EM envoyé à travers le vide glacial, dissuaderaient peu des récupérateurs des systèmes extérieurs que vous avez croisés.","gaFC_probeInvestigate:Examiner la sonde
defaultLeave:Partir",
gaFCProbeObjectInteraction,GAFCProbeInteraction,#Call $global.gaFC_ref updateData,,"Votre $shipOrFleet s'approche de la sonde. Votre officier des communications effectue une requête transpondeur active et identifie la sonde comme propriété de l'Académie Galatia, avec un numéro de série correspondant à l'équipement assigné au groupe de physique hyperspatiale de Coureuse.","gaFC_probeInvestigate:Examiner la sonde
defaultLeave:Partir",
gaFCProbeInteractionStartEmpty,OpenInteractionDialog,"$gaFC_probe score:1000
$tag:empty
Call $global.gaFC_ref updateData",ShowDefaultVisual,"Votre $shipOrFleet s'approche de la sonde. Elle ne transmet pas d'identifiant de transpondeur actif, et lorsque votre officier des communications effectue un ping direct du transpondeur, il n'y a aucun retour.

Un scan révèle une masse anormalement basse par rapport aux spécifications de la sonde. Vous ordonnez à une équipe de récupération de se déployer et d'enquêter - avec prudence.",gaFC_probeEmpty1:Continuer,
gaFCProbeEmpty1,DialogOptionSelected,"!$global.gaFC_scavengerDroppedProbe
$option == gaFC_probeEmpty1","Call $global.gaFC_ref foundEmptyProbe
DespawnEntity","Les récupérateurs utilisent un drone de maintenance pour découper la coque à un point d'accès standard. Une fois l'éclat du plasma dissipé, le drone oriente ses projecteurs pour révéler... rien.

La coque de la sonde est vide, hormis des extrémités de conduits grossièrement coupées qui pendent. Quelqu'un a entièrement vidé le châssis interne.

""C'était récent,"" rapporte votre officier des capteurs. ""Le balayage radar des débris résultant de l'intrusion montre une dispersion minimale. Celui qui a fait ça est probablement encore dans le système.""

Dans le système. Avec le matériel de la sonde dont vous avez besoin.",defaultLeave:Partir,
gaFCProbeEmpty1Dropped,DialogOptionSelected,"$global.gaFC_scavengerDroppedProbe
$option == gaFC_probeEmpty1","Call $global.gaFC_ref foundEmptyProbe
DespawnEntity","Les récupérateurs utilisent un drone de maintenance pour découper la coque à un point d'accès standard. Une fois l'éclat du plasma dissipé, le drone oriente ses projecteurs pour révéler... rien.

La coque de la sonde est vide, hormis des extrémités de conduits grossièrement coupées qui pendent. Quelqu'un a entièrement vidé le châssis interne.

""Le balayage radar des débris résultant de l'intrusion montre une dispersion minimale,"" rapporte votre officier des capteurs. ""Très récent. Ce doit être le boîtier de la sonde que ces récupérateurs ont pillée.""

Alors il n'y a plus rien à faire ici.",defaultLeave:Partir,
gaFCProveInvestigate,DialogOptionSelected,$option == gaFC_probeInvestigate,FireBest ProbeInvestigateOption,,,
gaFCProbe1InvestigationStart,ProbeInvestigateOption,$global.gaFC_probesDone == 0,,"Une équipe de récupération est envoyée sous l'oeil vigilant de votre chef des opérations. A l'aide des codes fournis par le prévôt Baird, l'équipe ouvre la sonde pour installer un relais à courte portée qui donne à vos techniciens un accès complet à l'environnement de données de la sonde.

Les rapports techniques confirment que le flux est actif ; la coque de la sonde est scellée en quelques brèves décharges d'un chalumeau à plasma. Votre chef des opérations rappelle l'équipe de récupération.",gaFC_probe1Investigation1:Obtenir un rapport de situation de l'équipe technique,
gaFCProbe1Investigation1,DialogOptionSelected,$option == gaFC_probe1Investigation1,,"Vous retrouvez votre officier technique dans une salle de briefing où il a déjà déplié un poste de travail portable et connecté un holoprojecteur pour présenter ses découvertes.

La sonde est composée d'un groupe de coeurs informatiques redondants organisés en petit réseau ; un nuage de glyphes connectés tourne lentement au milieu de l'espace : propulseurs de navigation et de maintien en position ; alimentation et thermostabilité ; capteurs de radiation et émetteurs de champ civils.

Votre officier technique met la moitié des icônes de côté et agrandit les restantes, révélant des sous-icônes identifiant des packages de projets de recherche spécifiques. Des glyphes d'avertissement jaunes signalent les packages qui ne correspondent pas aux spécifications de l'Académie de Galatia que vous avez en dossier.",gaFC_probe1Investigation2:Continuer,
gaFCProbe1Investigation2,DialogOptionSelected,$option == gaFC_probe1Investigation2,,"""Ce qui est intéressant, c'est celui-ci,"" dit votre officier technique en mettant un package inconnu en évidence. ""Il y a un coeur d'hyperpropulsion modifié là-dedans, du type qu'un petit vaisseau pourrait utiliser.""

En quelques pressions de touches et un geste, l'icône du composant explose en quelque chose ressemblant à un diagramme de circuit lumineux intégré dans l'ombre des schémas de la sonde. ""C'est comme un relais de communication hyperonde sous stimulants de combat,"" un ton d'admiration transparaît, ""Un travail magnifique. Aucune idée de comment ils stabilisent la puissance d'impulsion sur du matériel aussi bas de gamme.""",gaFC_probe1Investigation3:Continuer,
gaFCProbe1Investigation3,DialogOptionSelected,$option == gaFC_probe1Investigation3,"AddTextSmall ""Found 1 of 3 probes"" highlight
$global.gaFC_probesDone++
DespawnEntity","Vous faites comprendre que, aussi fascinant que ce soit, ce qui vous intéresse davantage, c'est vers où la sonde dirige ses signaux.

Le technicien cligne des yeux, comme si c'était à peine une considération. ""Euh. Ce n'est pas exactement une question de 'où' quand on parle d'hyperespace..."" Vous lancez un regard glacial qui provoque ce que vos subordonnés appellent dans votre dos un 'résumé exécutif'.

""...Ah, ce que je veux dire, c'est qu'il nous faudra interfacer avec quelques sondes supplémentaires comme celle-ci pour pouvoir localiser la cible de transmission par analyse hyperspectrale... c'est-à-dire, nous devons trouver deux autres sondes. Ensuite nous saurons. $PlayerSirOrMadam.""

Une de faite, encore deux à trouver.",defaultLeave:Partir,
gaFCProbe2InvestigationStart,ProbeInvestigateOption,$global.gaFC_probesDone == 1,"AddTextSmall ""Found 2 of 3 probes"" highlight
$global.gaFC_probesDone++
DespawnEntity","Toutes les équipes accomplissent leur travail avec une efficacité exemplaire ; votre équipe de récupération rapporte qu'une interface a été installée avec succès, et ils ont passé le contrôle à votre équipe technique qui enquête déjà à distance sur la sonde.

""L'analyse hyperonde n'est pas un processus simplement linéaire,"" explique votre officier technique. ""Il nous faudra encore un jeu de données pour compléter la... hmm, ce n'est pas vraiment de la triangulation, mais vous pouvez le concevoir comme ça si ça vous aide. Euh.""

Il se racle la gorge. ""Capitaine. $PlayerSirOrMadam.""

Vous le congédiez pour qu'il retourne à son travail. Deux de faites, encore une à trouver.",defaultLeave:Partir,
gaFCProbe3InvestigationStart,ProbeInvestigateOption,$global.gaFC_probesDone == 2,"AddTextSmall ""Found 3 of 3 probes"" highlight","C'est la troisième fois que vos équipes effectuent cette opération, elles savent donc exactement quoi faire, et le font bien.

Les schémas de la troisième sonde flottent devant vous dans la salle de briefing.

""Notre bricoleur a été à l'oeuvre,"" explique votre officier technique en mettant en évidence les spécifications spectrales d'un coeur d'hyperpropulsion miniature fortement modifié, ""Ici on retrouve à peu près la même configuration que dans les exemples précédents, mais avec quelques améliorations,"" des enchevêtrements d'icônes de composants aux annotations indéchiffrables sont mis en surbrillance, ""Ici, et ici. Un assemblage bizarre de pièces provenant de sources variées. Certaines sont même du matériel militaire officiellement restreint.""","gaFC_probeInvestigaitonWrapUp1:""Des conclusions ?""",
